id_afiliado;nombre;apellido;email;telefono;fecha_nacimiento;domicilio;estado_civil;dni;id_plan;id_ocupacion
null;Juan;Gomez;juangomez@gmail.com.ar;1945456565;1/5/1990;calle 1;soltero;37454232;1;1
null;Maxi;Lopez;maxilopez@gmail.com.ar;1945456464;1/5/1989;calle 2;casado;31444222;1;1
null;Lucas;Gonzales;lucasgonzales@gmail.com.ar;1945455454;1/5/1987;calle 3;casado;37444228;1;1
null;Julieta;Reta;julietareta@gmail.com.ar;1523235656;2/5/1987;calle 4;soltero;37444229;1;1
null;Giuliana;Lopez;giulopez@gmail.com.ar;1425253635;3/5/1987;calle 5;soltero;37444230;1;1
null;Graciela;Galo;gragalo@gmail.com.ar;1168808947;4/5/1987;calle 6;soltero;37444231;2;1
null;Alejandro;Galo;alegalo@gmail.com.ar;1235356964;5/5/1987;calle 7;casado;37444232;2;1
null;Luis;Casal;luicasa@gmail.com.ar;1527278946;6/5/1987;calle 8;soltero;37444233;2;1
null;Nicolas;Schiavi;nicochi@gmail.com.ar;1564796497;7/5/1987;calle 9;soltero;37444234;2;2
null;Matias;Guitierrez;matgut@gmail.com.ar;1523465678;8/5/1987;calle 10;soltero;37444235;2;2
