id_medico;nombre;apellido;fecha_nacimiento;domicilio;telefono
null;Alan;Milei;1990-01-01;calle 45;1180808080
null;Franco;Reta;1990-02-01;calle 450;1165656565
null;Maxi;Ruti;1990-01-01;calle 100;1136363636
null;Juan;Fernandez;1990-01-01;calle 101;1136363637
null;Dante;Pichetto;1990-02-01;calle 102;1136363638
null;Miguel;Boggiano;1990-03-01;calle 103;1136363639
null;Julieta;Catalina;1990-04-01;calle 104;1136363640
null;Analia;Cassa;1990-05-01;calle 105;1136363641
null;Graciela;Binett;1990-06-01;calle 106;1136363642
null;Juliana;Porto;1990-07-01;calle 107;1136363643
